bin_index,source_low,recomputed_low,source_high,recomputed_high,max_abs_difference
63,0.0094353371034293,0.009435337103429359,0.0140060343709038,0.014006034370903841,5.898059818321144e-17
64,0.0053054344467976,0.0053054344467976244,0.0084818560541733,0.008481856054173368,6.765421556309548e-17
65,0.0027652332590114,0.0027652332590114995,0.0070769043755272,0.007076904375527277,9.93129189996722e-17
66,0.0068088028620781,0.006808802862078188,0.0104152313705963,0.010415231370596339,8.847089727481716e-17
67,0.0027669213907533,0.002766921390753351,0.0063321469617992,0.0063321469617992005,5.117434254131581e-17
68,0.0020642752640183,0.002064275264018342,0.0056098008080371,0.0056098008080371405,4.206704429243757e-17
69,0.0129551931193939,0.012955193119393924,0.0188899688148377,0.018889968814837756,5.551115123125783e-17
70,0.0029828388941402,0.0029828388941402295,0.0058737250103462,0.005873725010346219,2.949029909160572e-17
71,0.0116919798352505,0.011691979835250547,0.0155273518885506,0.015527351888550634,4.683753385137379e-17
72,0.0145880152540885,0.014588015254088545,0.0208503826871195,0.020850382687119556,5.551115123125783e-17
73,0.0072055795003377,0.0072055795003377,0.0120095087157021,0.01200950871570212,1.9081958235744878e-17
74,0.005261927946437,0.005261927946437078,0.0090295807486777,0.00902958074867778,7.979727989493313e-17
75,0.0081137837197733,0.008113783719773388,0.0124385779956619,0.012438577995661995,9.540979117872439e-17
76,0.0246198602954736,0.02461986029547363,0.0326744296930928,0.03267442969309289,9.020562075079397e-17
77,0.0078655585364998,0.007865558536499872,0.0128400293297116,0.01284002932971168,7.979727989493313e-17
78,0.0079098770292054,0.007909877029205457,0.0122903834780379,0.012290383478037969,6.938893903907228e-17
79,0.0391774891432736,0.039177489143273674,0.0516762577088253,0.051676257708825314,7.632783294297951e-17
80,0.0126659855757959,0.012665985575795952,0.0179536269822805,0.017953626982280518,5.204170427930421e-17
81,0.024683941069592,0.02468394106959207,0.0383882800412984,0.03838828004129846,6.938893903907228e-17
82,0.0357706444061108,0.03577064440611086,0.0443925134333085,0.044392513433308564,6.245004513516506e-17
83,0.0241599249058591,0.024159924905859116,0.0319945400376393,0.03199454003763934,3.469446951953614e-17
84,0.026116219802193,0.02611621980219302,0.0408379573648712,0.04083795736487121,2.0816681711721685e-17
85,0.0341706481962223,0.034170648196222335,0.0366726065046404,0.03667260650464046,5.551115123125783e-17
