"cycle_id","measure_time","measurement_row_n","prefix24_estimate_n","distinct_target_ip_estimate_n","structured_path_nonempty_row_n","reached_target_row_n","responded_hop_sum","star_hop_sum","target_hash_xor","target_hash_sum","measurement_hash_xor","measurement_hash_sum"
202406260828,"2024-06-26 00:28:49.000000",171054,42802,171389,171054,21427,1239523,255213,16695224693272281549,15252761732047128129,4197532833746425343,4300091389200666415
202406260928,"2024-06-26 01:28:49.000000",171054,42802,171522,171054,21398,1235233,256875,13050916678134631079,12098501634039417337,9013172531016355009,18247652058572617139
202406261028,"2024-06-26 02:28:49.000000",171046,42802,171238,171046,21440,1251850,248460,6897673363736955089,3828108322630347985,12977098590835803312,7320848956958835062
202406261128,"2024-06-26 03:28:49.000000",171005,42802,170733,171005,21861,1245539,250964,365487318294939810,8647895681003740650,16542291314941558506,8216496588277870894
202406261228,"2024-06-26 04:28:49.000000",171027,42802,171049,171027,21507,1245564,250918,3769832164059109042,3235966377897083962,7800421162365702032,6368130840423543396
202406261328,"2024-06-26 05:28:49.000000",171032,42802,171445,171032,21809,1238907,254866,11386939638195963887,18113448975557130171,14087397622661372418,3682769848114769300
202406261428,"2024-06-26 06:28:49.000000",171051,42802,171696,171051,20447,1245372,246944,10607036239129950995,17315492533257487413,6396100429242039908,7662901638613225488
202406261528,"2024-06-26 07:28:49.000000",170995,42802,170906,170995,20178,1253063,238853,3792009332011755959,1173734253623468387,5761217538583787726,15731969242240061352
202406261628,"2024-06-26 08:28:49.000000",170967,42802,170652,170967,20331,1257342,235180,8224496239162087157,17604112615301290369,6247753630344924529,11703912308063234945
202406261728,"2024-06-26 09:28:49.000000",170988,42802,171293,170988,20192,1254014,233698,12132706237440894715,7583121473560677451,10309281155428146374,8597230835184284646
202406261828,"2024-06-26 10:28:49.000000",170922,42802,170387,170922,19910,1254142,229939,2602750799166118644,6332176659064059540,12851918351027397152,16939652080338248900
202406261928,"2024-06-26 11:28:49.000000",170919,42802,170611,170919,19800,1250769,229477,2357568173889929104,377607826838125210,15844476471701297779,13906488024766975945
202406262028,"2024-06-26 12:28:49.000000",170876,42802,170241,170876,20996,1246028,238408,2665177593123083174,9769860098785393174,11831741515247579361,10786678165942349823
202406262128,"2024-06-26 13:28:49.000000",170887,42802,170637,170887,20933,1251201,237574,17799159189050490375,12643188336431997215,16887322090112106803,16341555480040120741
202406262228,"2024-06-26 14:28:49.000000",170904,42802,170843,170904,20903,1254587,233688,6047317813958924687,15267681870087635917,11868156712425070253,14400954767065196507
202406262328,"2024-06-26 15:28:49.000000",170910,42802,170979,170910,20653,1253320,231025,3182959498438444196,6004142909059975476,11920513914095011964,11527895486820840610
