score,bin_left,bin_right,x_mean,n,positive,proportion,CI_low,CI_high
power_availability,0.36470588235294116,0.3764705882352941,0.36958008769477874,13015,20,0.001536688436419516,0.0009950276417978277,0.0023725115481805625
power_availability,0.3764705882352941,0.38823529411764707,0.3841062544810792,4582,52,0.011348756001745963,0.008665149873594902,0.01485102699145243
power_availability,0.38823529411764707,0.4,0.39319988684258816,4186,17,0.004061156235069279,0.0025371954389613554,0.006494520723240468
power_availability,0.4,0.4117647058823529,0.4035257759468364,10038,20,0.0019924287706714486,0.0012902075633509545,0.0030756708465480643
power_availability,0.4117647058823529,0.4235294117647059,0.42096062134311224,8574,60,0.006997900629811057,0.005440842774928411,0.008996525811937522
power_availability,0.4235294117647059,0.43529411764705883,0.4306277139909071,9633,41,0.004256202636769438,0.0031391129107197014,0.005768521316480603
power_availability,0.43529411764705883,0.44705882352941173,0.4417709128763705,3152,30,0.00951776649746193,0.0066750804162306245,0.013554534934773424
power_availability,0.44705882352941173,0.4588235294117647,0.45373524057784165,5318,21,0.003948852952237684,0.0025843171733875084,0.006029516811597921
power_availability,0.4588235294117647,0.47058823529411764,0.4649803126181968,9258,117,0.012637718729747246,0.010555944300886744,0.015123771755382088
power_availability,0.47058823529411764,0.4823529411764706,0.4754075837700373,3917,3,0.0007658922644881287,0.0002605059051397978,0.002249531525359681
power_availability,0.4823529411764706,0.49411764705882355,0.48667674076217854,2976,12,0.004032258064516129,0.0023081576034549964,0.007035110891008027
power_availability,0.49411764705882355,0.5058823529411764,0.4999885544503591,24555,215,0.008755854204846264,0.007665007868806176,0.010000379952852372
power_availability,0.5058823529411764,0.5176470588235293,0.5131916083403544,2936,13,0.0044277929155313355,0.002589499132542181,0.007561204311399627
power_availability,0.5176470588235293,0.5294117647058824,0.5249707623229539,4213,7,0.001661523854735343,0.0008050824573960253,0.0034259181611768557
power_availability,0.5294117647058824,0.5411764705882353,0.5354796338879093,7299,135,0.018495684340320593,0.015648426086083786,0.021849506789062556
