ip,prefix24,oblast,power_availability,normal_availability,itdk_202408_T,own_traceroute_intermediate,first_seen,last_seen,intermediate_observation_n,terminal_non_target_observation_n,target_address_observation_n,hop_position_min,hop_position_max,frozen_own_traceroute_intermediate,rebuilt_own_traceroute_intermediate,caida_itdk_202408_transit
77.52.194.73,77.52.194.0,Zakarpattia Oblast,1.0,1.0,0,1,2024-06-23 17:33:26.000000,2025-01-08 03:33:43.000000,4,142,68,5.0,8.0,1,1,0
77.52.194.77,77.52.194.0,Dnipropetrovsk Oblast,1.0,0.9903846153846154,1,1,2024-06-22 15:37:33.000000,2025-01-09 14:33:28.000000,1156,68,76,5.0,10.0,1,1,1
77.52.194.78,77.52.194.0,Dnipropetrovsk Oblast,1.0,1.0,1,1,2024-06-22 12:37:34.000000,2025-01-09 14:33:28.000000,719,388,75,6.0,15.0,1,1,1
77.52.195.109,77.52.195.0,Dnipropetrovsk Oblast,0.9615384615384616,1.0,0,1,2024-06-23 16:33:25.000000,2025-01-09 07:34:06.000000,43,63,57,6.0,10.0,1,1,0
77.52.195.113,77.52.195.0,Dnipropetrovsk Oblast,0.9615384615384616,1.0,0,1,2024-06-22 11:37:43.000000,2025-01-09 11:33:28.000000,66,56,62,5.0,12.0,1,1,0
77.52.195.142,77.52.195.0,Cherkasy Oblast,0.009345794392523364,0.053738317757009345,0,1,2024-12-20 19:33:27.000000,2025-01-09 14:31:16.000000,172,1192,8,7.0,9.0,1,1,0
77.52.195.41,77.52.195.0,Kyiv Oblast,1.0,1.0,1,1,2024-06-22 08:30:19.000000,2025-01-09 14:29:41.000000,35535,476,85,5.0,10.0,1,1,1
77.52.195.42,77.52.195.0,Kyiv Oblast,1.0,0.9848484848484849,1,1,2024-06-22 08:30:19.000000,2025-01-09 14:29:41.000000,11155,28856,73,6.0,12.0,1,1,1
77.52.195.85,77.52.195.0,Zakarpattia Oblast,1.0,1.0,0,1,2024-06-23 00:33:24.000000,2025-01-09 06:33:28.000000,85,63,74,5.0,15.0,1,1,0
77.52.196.165,77.52.196.0,Dnipropetrovsk Oblast,1.0,1.0,1,1,2024-06-22 08:37:16.000000,2025-01-09 14:33:28.000000,4377,90,83,5.0,19.0,1,1,1
77.52.196.166,77.52.196.0,Dnipropetrovsk Oblast,1.0,1.0,1,1,2024-06-22 08:37:16.000000,2025-01-09 14:33:28.000000,3132,1282,51,6.0,11.0,1,1,1
77.52.196.17,77.52.196.0,Odesa Oblast,1.0,1.0,1,1,2024-06-22 08:37:17.000000,2025-01-09 14:33:27.000000,2107,1813,72,5.0,10.0,1,1,1
77.52.196.177,77.52.196.0,Dnipropetrovsk Oblast,1.0,0.9711538461538461,0,1,2024-06-23 09:33:24.000000,2025-01-07 03:33:28.000000,6,153,62,5.0,16.0,1,1,0
77.52.196.18,77.52.196.0,Odesa Oblast,0.9333333333333333,0.9583333333333334,1,1,2024-06-22 10:37:32.000000,2025-01-09 13:33:26.000000,768,873,70,6.0,11.0,1,1,1
77.52.196.193,77.52.196.0,Dnipropetrovsk Oblast,1.0,0.9711538461538461,1,1,2024-06-22 09:01:48.000000,2025-01-09 14:52:09.000000,8945,8641,78,5.0,21.0,1,1,1
77.52.196.194,77.52.196.0,Dnipropetrovsk Oblast,1.0,0.9903846153846154,1,1,2024-06-22 09:01:48.000000,2025-01-09 12:52:10.000000,1519,6210,64,6.0,11.0,1,1,1
77.52.196.73,77.52.196.0,Zakarpattia Oblast,1.0,1.0,0,1,2024-06-23 18:33:25.000000,2025-01-08 13:33:27.000000,69,84,71,5.0,9.0,1,1,0
77.52.197.125,77.52.197.0,Dnipropetrovsk Oblast,1.0,1.0,0,1,2024-06-23 06:33:25.000000,2025-01-08 15:33:26.000000,55,65,76,5.0,17.0,1,1,0
77.52.197.41,77.52.197.0,Dnipropetrovsk Oblast,1.0,0.9807692307692307,1,1,2024-06-22 08:36:55.000000,2025-01-09 14:53:57.000000,1262314,130068,73,5.0,10.0,1,1,1
77.52.197.42,77.52.197.0,Dnipropetrovsk Oblast,1.0,0.9807692307692307,1,1,2024-06-22 08:36:55.000000,2025-01-09 14:53:57.000000,103332,273490,64,6.0,11.0,1,1,1
