ip,prefix24,oblast,power_availability,normal_availability,itdk_202408_T,own_traceroute_intermediate,first_seen,last_seen,intermediate_observation_n,terminal_non_target_observation_n,target_address_observation_n,hop_position_min,hop_position_max,frozen_own_traceroute_intermediate,rebuilt_own_traceroute_intermediate,caida_itdk_202408_transit
188.163.182.153,188.163.182.0,Dnipropetrovsk Oblast,0.6923076923076923,0.6730769230769231,1,1,2024-06-22 12:00:09.000000,2025-01-09 05:49:58.000000,13,37,128,6.0,32.0,1,1,1
188.163.182.157,188.163.182.0,Dnipropetrovsk Oblast,0.8846153846153846,0.9326923076923077,0,1,2024-06-30 13:48:31.000000,2025-01-07 03:50:04.000000,41,0,48,6.0,28.0,1,1,0
188.163.182.161,188.163.182.0,Dnipropetrovsk Oblast,0.8076923076923077,0.9230769230769231,0,1,2024-06-22 08:59:01.000000,2025-01-08 18:49:39.000000,33,8,63,6.0,27.0,1,1,0
188.163.182.165,188.163.182.0,Dnipropetrovsk Oblast,0.8076923076923077,0.8653846153846154,1,1,2024-07-03 13:48:31.000000,2025-01-07 09:50:06.000000,21,20,67,6.0,25.0,1,1,1
188.163.182.169,188.163.182.0,Dnipropetrovsk Oblast,0.7692307692307693,0.47115384615384615,0,1,2024-06-23 17:48:30.000000,2024-12-31 17:49:45.000000,44,5,73,6.0,28.0,1,1,0
188.163.182.193,188.163.182.0,Dnipropetrovsk Oblast,0.6923076923076923,0.75,0,1,2024-06-23 03:48:26.000000,2025-01-09 04:50:00.000000,169,0,83,6.0,24.0,1,1,0
188.163.182.29,188.163.182.0,Dnipropetrovsk Oblast,0.7307692307692307,0.9519230769230769,0,1,2024-06-27 05:48:31.000000,2024-12-29 19:49:35.000000,21,1,64,7.0,31.0,1,1,0
188.163.182.37,188.163.182.0,Dnipropetrovsk Oblast,0.9230769230769231,0.9423076923076923,0,1,2024-07-05 22:48:29.000000,2024-12-30 02:49:32.000000,23,0,59,6.0,30.0,1,1,0
188.163.182.49,188.163.182.0,Dnipropetrovsk Oblast,0.8846153846153846,0.9038461538461539,0,1,2024-07-02 11:48:27.000000,2025-01-07 16:49:46.000000,25,2,67,6.0,32.0,1,1,0
188.163.182.53,188.163.182.0,Dnipropetrovsk Oblast,0.8076923076923077,0.7980769230769231,0,1,2024-06-23 12:48:30.000000,2025-01-08 23:49:53.000000,24,15,74,6.0,32.0,1,1,0
188.163.182.57,188.163.182.0,Dnipropetrovsk Oblast,0.8846153846153846,0.9519230769230769,0,1,2024-06-26 07:48:25.000000,2024-12-29 01:49:41.000000,21,2,73,6.0,32.0,1,1,0
188.163.182.61,188.163.182.0,Dnipropetrovsk Oblast,0.6538461538461539,0.8076923076923077,0,1,2024-07-02 15:48:27.000000,2024-09-29 22:48:27.000000,2,14,34,7.0,29.0,1,1,0
188.163.182.65,188.163.182.0,Dnipropetrovsk Oblast,0.9230769230769231,0.9615384615384616,0,1,2024-06-23 08:48:35.000000,2024-12-31 08:49:39.000000,59,1,86,6.0,23.0,1,1,0
188.163.182.69,188.163.182.0,Dnipropetrovsk Oblast,0.8846153846153846,0.9326923076923077,1,1,2024-06-27 01:48:32.000000,2025-01-09 11:50:00.000000,39,3,81,6.0,23.0,1,1,1
188.163.182.81,188.163.182.0,Dnipropetrovsk Oblast,0.38461538461538464,0.4423076923076923,0,1,2024-06-23 02:48:30.000000,2025-01-03 09:49:39.000000,47,0,69,6.0,30.0,1,1,0
188.163.182.93,188.163.182.0,Dnipropetrovsk Oblast,0.7307692307692307,0.7884615384615384,0,1,2024-06-22 17:00:15.000000,2024-12-31 06:49:39.000000,44,0,80,6.0,29.0,1,1,0
188.163.183.1,188.163.183.0,Dnipropetrovsk Oblast,0.9615384615384616,0.9423076923076923,0,1,2024-06-22 09:59:44.000000,2025-01-08 06:50:25.000000,28,4,85,6.0,31.0,1,1,0
188.163.183.109,188.163.183.0,Dnipropetrovsk Oblast,0.19230769230769232,0.28846153846153844,0,1,2024-06-23 02:48:30.000000,2025-01-08 17:49:52.000000,50,0,85,6.0,27.0,1,1,0
188.163.183.121,188.163.183.0,Dnipropetrovsk Oblast,0.9615384615384616,0.8846153846153846,0,1,2024-06-23 08:48:35.000000,2025-01-07 06:50:07.000000,40,2,80,6.0,29.0,1,1,0
188.163.183.129,188.163.183.0,Dnipropetrovsk Oblast,0.8076923076923077,0.7019230769230769,0,1,2024-06-22 23:48:28.000000,2025-01-08 18:49:39.000000,45,1,69,6.0,27.0,1,1,0
188.163.183.13,188.163.183.0,Dnipropetrovsk Oblast,0.9615384615384616,0.9519230769230769,0,1,2024-06-22 12:00:09.000000,2025-01-08 16:49:44.000000,12,24,61,6.0,28.0,1,1,0
188.163.183.133,188.163.183.0,Dnipropetrovsk Oblast,1.0,0.8269230769230769,0,1,2024-06-25 07:48:31.000000,2025-01-09 13:49:56.000000,34,7,83,6.0,29.0,1,1,0
188.163.183.141,188.163.183.0,Dnipropetrovsk Oblast,0.5,0.47115384615384615,0,1,2024-06-23 11:48:29.000000,2025-01-07 18:49:48.000000,28,12,86,6.0,31.0,1,1,0
188.163.183.145,188.163.183.0,Dnipropetrovsk Oblast,0.8076923076923077,0.6923076923076923,0,1,2024-06-25 11:48:33.000000,2024-12-10 02:50:17.000000,8,17,58,6.0,26.0,1,1,0
188.163.183.165,188.163.183.0,Dnipropetrovsk Oblast,0.8076923076923077,0.7403846153846154,0,1,2024-06-23 09:48:29.000000,2025-01-09 02:50:11.000000,16,20,81,6.0,31.0,1,1,0
188.163.183.169,188.163.183.0,Dnipropetrovsk Oblast,0.5,0.47115384615384615,0,1,2024-06-28 11:48:30.000000,2024-12-30 17:49:49.000000,25,13,69,6.0,29.0,1,1,0
188.163.183.177,188.163.183.0,Dnipropetrovsk Oblast,0.38461538461538464,0.4326923076923077,0,1,2024-07-02 00:48:29.000000,2025-01-08 01:50:10.000000,35,0,92,6.0,30.0,1,1,0
188.163.183.185,188.163.183.0,Dnipropetrovsk Oblast,0.8846153846153846,0.8269230769230769,0,1,2024-07-01 08:48:33.000000,2025-01-05 01:49:40.000000,3,22,68,6.0,30.0,1,1,0
188.163.183.197,188.163.183.0,Dnipropetrovsk Oblast,0.9230769230769231,0.8942307692307693,0,1,2024-06-22 17:00:15.000000,2025-01-09 03:50:06.000000,34,6,80,6.0,25.0,1,1,0
188.163.183.201,188.163.183.0,Dnipropetrovsk Oblast,0.46153846153846156,0.41346153846153844,0,1,2024-06-23 03:48:26.000000,2025-01-09 10:49:56.000000,24,30,80,6.0,28.0,1,1,0
188.163.183.213,188.163.183.0,Dnipropetrovsk Oblast,0.5769230769230769,0.5480769230769231,0,1,2024-06-22 23:48:28.000000,2025-01-08 19:49:45.000000,36,4,75,6.0,24.0,1,1,0
188.163.183.221,188.163.183.0,Dnipropetrovsk Oblast,0.4230769230769231,0.4326923076923077,1,1,2024-06-23 13:48:27.000000,2025-01-08 00:50:09.000000,21,23,61,6.0,21.0,1,1,1
188.163.183.241,188.163.183.0,Dnipropetrovsk Oblast,0.5,0.5,0,1,2024-06-24 00:48:30.000000,2025-01-06 14:49:42.000000,10,22,72,6.0,24.0,1,1,0
188.163.183.25,188.163.183.0,Dnipropetrovsk Oblast,0.9615384615384616,0.875,1,1,2024-06-24 03:48:32.000000,2025-01-07 17:49:57.000000,18,2,70,6.0,31.0,1,1,1
188.163.183.33,188.163.183.0,Dnipropetrovsk Oblast,1.0,0.9423076923076923,0,1,2024-07-01 21:48:31.000000,2025-01-08 00:50:09.000000,35,0,67,6.0,29.0,1,1,0
188.163.183.37,188.163.183.0,Dnipropetrovsk Oblast,0.8846153846153846,0.7884615384615384,0,1,2024-08-02 13:48:32.000000,2025-01-06 01:49:43.000000,22,8,56,6.0,26.0,1,1,0
188.163.183.41,188.163.183.0,Dnipropetrovsk Oblast,0.9230769230769231,0.9038461538461539,0,1,2024-07-01 11:48:40.000000,2025-01-09 06:50:09.000000,29,0,82,6.0,31.0,1,1,0
188.163.183.45,188.163.183.0,Dnipropetrovsk Oblast,0.6153846153846154,0.6826923076923077,0,1,2024-07-01 13:48:27.000000,2025-01-09 11:50:00.000000,33,0,62,6.0,29.0,1,1,0
188.163.183.49,188.163.183.0,Dnipropetrovsk Oblast,0.3076923076923077,0.33653846153846156,1,1,2024-06-24 14:48:34.000000,2025-01-09 09:49:52.000000,29,4,90,6.0,32.0,1,1,1
188.163.183.53,188.163.183.0,Dnipropetrovsk Oblast,0.5384615384615384,0.5288461538461539,0,1,2024-06-27 05:48:31.000000,2025-01-09 12:49:50.000000,18,11,96,6.0,29.0,1,1,0
188.163.183.73,188.163.183.0,Dnipropetrovsk Oblast,0.38461538461538464,0.2980769230769231,0,1,2024-07-02 22:48:28.000000,2025-01-06 13:49:39.000000,41,0,68,6.0,29.0,1,1,0
188.163.183.85,188.163.183.0,Dnipropetrovsk Oblast,1.0,0.9230769230769231,0,1,2024-06-22 22:48:31.000000,2025-01-08 20:49:38.000000,54,0,75,6.0,23.0,1,1,0
188.163.183.93,188.163.183.0,Dnipropetrovsk Oblast,1.0,0.9326923076923077,0,1,2024-06-23 22:48:31.000000,2025-01-09 10:49:56.000000,50,1,84,6.0,25.0,1,1,0
188.163.189.129,188.163.189.0,Poltava Oblast,0.9807692307692307,0.9951923076923077,1,1,2024-06-23 17:48:31.000000,2025-01-09 06:50:10.000000,107,54,72,6.0,29.0,1,1,1
188.163.216.113,188.163.216.0,Lviv Oblast,1.0,1.0,1,1,2024-06-22 09:59:45.000000,2025-01-09 11:50:01.000000,146,126,70,6.0,23.0,1,1,1
188.163.216.145,188.163.216.0,Lviv Oblast,1.0,1.0,1,1,2024-06-22 10:59:43.000000,2025-01-08 09:50:01.000000,145,110,65,6.0,23.0,1,1,1
188.163.216.217,188.163.216.0,Lviv Oblast,1.0,1.0,1,1,2024-06-23 22:48:32.000000,2025-01-09 11:50:01.000000,2,294,76,6.0,16.0,1,1,1
188.163.216.33,188.163.216.0,Lviv Oblast,0.0,0.0,0,1,2024-09-30 14:48:38.000000,2025-01-08 00:50:10.000000,23,69,47,6.0,30.0,1,1,0
188.163.216.49,188.163.216.0,Lviv Oblast,1.0,1.0,1,1,2024-06-22 20:59:44.000000,2024-10-28 09:48:44.000000,35,125,47,6.0,29.0,1,1,1
188.163.216.57,188.163.216.0,Lviv Oblast,1.0,1.0,1,1,2024-06-22 12:00:10.000000,2025-01-09 10:49:57.000000,91,129,79,6.0,28.0,1,1,1
188.163.216.65,188.163.216.0,Lviv Oblast,1.0,1.0,0,1,2024-06-22 22:48:32.000000,2025-01-09 12:49:52.000000,56,260,80,6.0,19.0,1,1,0
188.163.216.81,188.163.216.0,Lviv Oblast,1.0,1.0,1,1,2024-06-22 10:59:43.000000,2025-01-09 07:51:25.000000,52,696,59,6.0,25.0,1,1,1
188.163.216.97,188.163.216.0,Volyn Oblast,0.9938837920489296,1.0,1,1,2024-06-22 13:59:57.000000,2025-01-09 14:49:50.000000,626,38,62,6.0,32.0,1,1,1
188.163.217.209,188.163.217.0,Lviv Oblast,1.0,0.125,0,1,2024-06-22 17:00:16.000000,2025-01-09 01:50:10.000000,29,149,41,6.0,16.0,1,1,0
188.163.217.25,188.163.217.0,Volyn Oblast,0.9877675840978594,0.9892966360856269,1,1,2024-06-22 12:00:10.000000,2025-01-09 03:50:07.000000,53,156,80,6.0,31.0,1,1,1
188.163.217.33,188.163.217.0,Lviv Oblast,1.0,1.0,0,1,2024-06-22 15:00:11.000000,2025-01-09 09:49:54.000000,111,141,74,6.0,21.0,1,1,0
188.163.217.89,188.163.217.0,Lviv Oblast,0.8333333333333334,0.9583333333333334,0,1,2024-06-22 17:00:16.000000,2025-01-09 13:49:58.000000,42,230,79,6.0,21.0,1,1,0
188.163.219.117,188.163.219.0,Lviv Oblast,1.0,1.0,0,1,2024-06-23 11:48:31.000000,2025-01-06 20:49:49.000000,55,3,86,6.0,22.0,1,1,0
188.163.219.17,188.163.219.0,Lviv Oblast,1.0,1.0,0,1,2024-06-22 12:00:10.000000,2025-01-06 18:49:53.000000,48,1,87,6.0,27.0,1,1,0
188.163.219.25,188.163.219.0,Lviv Oblast,1.0,1.0,0,1,2024-06-25 03:48:38.000000,2024-12-31 21:49:36.000000,53,4,60,6.0,22.0,1,1,0
188.163.219.45,188.163.219.0,Lviv Oblast,1.0,1.0,0,1,2024-06-24 15:48:35.000000,2024-12-31 13:49:40.000000,8,44,75,6.0,25.0,1,1,0
188.163.219.57,188.163.219.0,Lviv Oblast,1.0,1.0,1,1,2024-06-22 20:00:18.000000,2025-01-08 05:50:25.000000,35,2,80,6.0,27.0,1,1,1
188.163.219.77,188.163.219.0,Lviv Oblast,1.0,1.0,0,1,2024-06-22 21:49:39.000000,2024-12-31 03:49:38.000000,55,1,75,6.0,17.0,1,1,0
188.163.219.81,188.163.219.0,Lviv Oblast,1.0,1.0,0,1,2024-06-22 19:00:17.000000,2024-08-31 07:48:32.000000,10,12,21,7.0,21.0,1,1,0
188.163.220.105,188.163.220.0,Lviv Oblast,1.0,1.0,0,1,2024-06-23 08:48:37.000000,2025-01-09 07:51:25.000000,53,0,73,6.0,18.0,1,1,0
188.163.220.137,188.163.220.0,Lviv Oblast,1.0,1.0,1,1,2024-06-22 15:00:11.000000,2025-01-09 12:49:52.000000,34,272,86,6.0,32.0,1,1,1
188.163.220.153,188.163.220.0,Lviv Oblast,1.0,1.0,0,1,2024-06-22 17:00:16.000000,2025-01-08 12:49:48.000000,152,130,71,6.0,23.0,1,1,0
188.163.220.161,188.163.220.0,Lviv Oblast,1.0,1.0,0,1,2024-06-23 10:48:28.000000,2025-01-08 05:50:25.000000,63,0,84,6.0,22.0,1,1,0
188.163.220.185,188.163.220.0,Lviv Oblast,1.0,1.0,0,1,2024-06-22 08:59:03.000000,2025-01-09 11:50:01.000000,48,268,81,6.0,25.0,1,1,0
188.163.232.129,188.163.232.0,Kyiv Oblast,1.0,0.9924242424242424,1,1,2024-06-22 08:59:04.000000,2025-01-09 14:49:51.000000,179,6861,77,6.0,26.0,1,1,1
188.163.232.97,188.163.232.0,Kyiv Oblast,1.0,0.9848484848484849,0,1,2024-06-23 02:48:32.000000,2025-01-09 12:49:52.000000,341,1,52,6.0,11.0,1,1,0
188.163.243.1,188.163.243.0,Kirovohrad Oblast,0.9259259259259259,0.9907407407407407,0,1,2024-06-23 02:48:33.000000,2025-01-07 11:50:06.000000,45,4,76,6.0,26.0,1,1,0
188.163.243.133,188.163.243.0,Kirovohrad Oblast,0.9814814814814815,0.9814814814814815,0,1,2024-06-22 22:48:33.000000,2025-01-06 04:49:49.000000,33,3,76,6.0,29.0,1,1,0
188.163.243.5,188.163.243.0,Kirovohrad Oblast,0.8888888888888888,0.9953703703703703,0,1,2024-06-22 18:00:32.000000,2024-12-30 21:49:40.000000,33,3,70,6.0,32.0,1,1,0
188.163.243.9,188.163.243.0,Kirovohrad Oblast,0.9814814814814815,1.0,0,1,2024-06-23 00:48:29.000000,2025-01-08 14:49:48.000000,40,0,65,6.0,28.0,1,1,0
188.163.243.93,188.163.243.0,Kirovohrad Oblast,0.9814814814814815,0.9907407407407407,0,1,2024-06-22 08:59:04.000000,2025-01-09 10:49:59.000000,14,32,63,6.0,24.0,1,1,0
188.190.165.2,188.190.165.0,Khmelnytskyi Oblast,0.9767441860465116,1.0,0,1,2024-06-24 17:48:44.000000,2024-11-30 15:49:43.000000,109,16,55,7.0,32.0,1,1,0
188.190.89.156,188.190.89.0,Kirovohrad Oblast,0.46296296296296297,0.17592592592592593,0,1,2024-07-05 02:48:39.000000,2024-07-27 06:48:34.000000,1,1,3,11.0,12.0,1,1,0
188.191.42.32,188.191.42.0,Lviv Oblast,1.0,1.0,1,1,2024-06-22 11:00:00.000000,2025-01-09 14:50:00.000000,3106,3173,59,5.0,24.0,1,1,1
188.231.149.82,188.231.149.0,Dnipropetrovsk Oblast,0.0,0.028846153846153848,0,1,2024-10-02 03:48:52.000000,2024-12-23 16:50:07.000000,40,0,23,10.0,16.0,1,1,0
188.231.155.131,188.231.155.0,Dnipropetrovsk Oblast,0.6153846153846154,0.7019230769230769,0,1,2024-11-01 15:48:58.000000,2024-11-30 06:50:08.000000,1,0,9,11.0,11.0,1,1,0
188.239.117.144,188.239.117.0,Poltava Oblast,0.0,0.0,0,1,2024-11-03 07:36:29.000000,2024-11-30 11:50:04.000000,1,0,14,12.0,19.0,1,1,0
188.239.117.145,188.239.117.0,Poltava Oblast,0.0,0.0,0,1,2024-10-25 09:49:10.000000,2024-12-30 01:34:15.000000,130,41,26,7.0,31.0,1,1,0
188.239.127.161,188.239.127.0,Poltava Oblast,0.9230769230769231,0.9855769230769231,1,1,2024-06-26 03:36:28.000000,2025-01-09 14:36:33.000000,278,1,68,11.0,31.0,1,1,1
188.239.127.221,188.239.127.0,Poltava Oblast,0.9230769230769231,0.7548076923076923,0,1,2024-10-02 04:49:02.000000,2025-01-07 22:50:26.000000,585,46,37,8.0,32.0,1,1,0
192.162.112.1,192.162.112.0,Poltava Oblast,0.9615384615384616,0.8774038461538461,0,1,2024-06-22 08:59:46.000000,2025-01-09 12:50:20.000000,21393,2875,66,10.0,32.0,1,1,0
192.162.112.11,192.162.112.0,Poltava Oblast,1.0,0.9158653846153846,0,1,2024-06-22 20:00:42.000000,2025-01-09 08:50:44.000000,989,35,69,10.0,32.0,1,1,0
192.162.112.17,192.162.112.0,Poltava Oblast,0.9807692307692307,0.9326923076923077,1,1,2024-06-22 08:59:46.000000,2025-01-09 14:50:19.000000,4082,6952,78,9.0,31.0,1,1,1
192.162.114.10,192.162.114.0,Poltava Oblast,0.9711538461538461,0.9951923076923077,1,1,2024-06-22 10:00:18.000000,2025-01-09 14:50:19.000000,499,2991,66,9.0,22.0,1,1,1
192.162.114.137,192.162.114.0,Poltava Oblast,0.9807692307692307,0.9471153846153846,0,1,2024-06-22 13:00:33.000000,2025-01-09 14:50:19.000000,1485,190,70,8.0,32.0,1,1,0
192.162.114.138,192.162.114.0,Poltava Oblast,0.9423076923076923,0.8725961538461539,1,1,2024-06-22 09:54:22.000000,2025-01-09 14:50:19.000000,2482,607,81,9.0,32.0,1,1,1
192.162.140.30,192.162.140.0,Zaporizhzhia Oblast,1.0,1.0,1,1,2024-06-22 08:59:47.000000,2025-01-09 14:50:19.000000,12633,4691,91,7.0,32.0,1,1,1
192.162.237.1,192.162.237.0,Vinnytsia Oblast,0.8636363636363636,0.9545454545454546,0,1,2024-06-22 18:55:24.000000,2024-12-31 12:50:18.000000,21,1,30,9.0,31.0,1,1,0
192.162.237.21,192.162.237.0,Vinnytsia Oblast,0.0,0.6590909090909091,1,1,2024-08-06 20:36:10.000000,2025-01-09 14:50:20.000000,18692,17102,74,9.0,26.0,1,1,1
192.162.237.22,192.162.237.0,Vinnytsia Oblast,0.8636363636363636,0.20454545454545456,0,1,2024-06-22 08:42:16.000000,2024-08-06 19:49:09.000000,5739,5142,14,11.0,27.0,1,1,0
192.162.237.32,192.162.237.0,Vinnytsia Oblast,0.0,0.6363636363636364,1,1,2024-08-06 20:36:10.000000,2025-01-09 14:50:20.000000,28613,18352,60,9.0,30.0,1,1,1
192.162.237.34,192.162.237.0,Vinnytsia Oblast,0.7727272727272727,0.8181818181818182,0,1,2024-06-23 03:49:02.000000,2025-01-09 14:45:42.000000,710,739,80,10.0,25.0,1,1,0
192.162.237.35,192.162.237.0,Vinnytsia Oblast,0.9545454545454546,0.8863636363636364,1,1,2024-06-22 08:54:19.000000,2025-01-09 14:50:20.000000,29794,22928,78,9.0,32.0,1,1,1
192.162.237.36,192.162.237.0,Vinnytsia Oblast,0.9090909090909091,0.22727272727272727,0,1,2024-06-22 08:54:19.000000,2024-08-06 19:49:09.000000,8275,5171,10,11.0,28.0,1,1,0
192.162.237.38,192.162.237.0,Vinnytsia Oblast,0.9090909090909091,0.7954545454545454,1,1,2024-06-22 08:59:48.000000,2025-01-09 14:50:20.000000,5723,3290,81,9.0,25.0,1,1,1
192.162.237.50,192.162.237.0,Vinnytsia Oblast,0.13636363636363635,0.13636363636363635,0,1,2024-10-02 08:49:12.000000,2024-10-31 20:49:14.000000,1,3,16,10.0,30.0,1,1,0
192.162.237.51,192.162.237.0,Vinnytsia Oblast,0.9090909090909091,0.9318181818181818,1,1,2024-06-22 10:42:44.000000,2025-01-09 14:50:20.000000,4246,2924,74,9.0,27.0,1,1,1
192.162.35.18,192.162.35.0,Lviv Oblast,0.16666666666666666,0.6666666666666666,1,1,2024-06-26 13:49:02.000000,2025-01-08 02:50:43.000000,57,0,69,7.0,31.0,1,1,1
192.162.35.90,192.162.35.0,Lviv Oblast,0.6666666666666666,0.25,0,1,2024-10-02 19:49:09.000000,2025-01-09 11:35:28.000000,11,1,39,6.0,17.0,1,1,0
193.0.228.10,193.0.228.0,Zaporizhzhia Oblast,0.875,0.9375,1,1,2024-06-22 08:59:50.000000,2025-01-09 14:52:13.000000,108534,22134,61,11.0,32.0,1,1,1
193.0.228.166,193.0.228.0,Zaporizhzhia Oblast,0.5,0.3125,0,1,2024-06-22 22:50:46.000000,2024-12-29 00:50:11.000000,16,107,67,11.0,27.0,1,1,0
193.0.228.214,193.0.228.0,Zaporizhzhia Oblast,0.875,0.78125,1,1,2024-06-22 08:59:50.000000,2025-01-09 14:52:13.000000,127778,12082,58,10.0,32.0,1,1,1
193.0.240.45,193.0.240.0,Cherkasy Oblast,0.822429906542056,0.8364485981308412,0,1,2024-06-22 09:41:46.000000,2025-01-09 05:35:44.000000,626,85,65,6.0,32.0,1,1,0
193.104.208.241,193.104.208.0,Chernihiv Oblast,0.8333333333333334,0.4791666666666667,1,1,2024-09-03 21:49:22.000000,2025-01-09 14:50:29.000000,3064,1737,51,6.0,26.0,1,1,1
193.104.208.243,193.104.208.0,Chernihiv Oblast,0.8333333333333334,0.4375,1,1,2024-08-02 06:49:22.000000,2025-01-09 13:50:34.000000,1403,4136,53,6.0,27.0,1,1,1
193.105.62.1,193.105.62.0,Khmelnytskyi Oblast,0.9302325581395349,0.8604651162790697,1,1,2024-06-22 09:00:08.000000,2025-01-09 13:50:34.000000,384,2797,80,10.0,25.0,1,1,1
193.105.62.150,193.105.62.0,Khmelnytskyi Oblast,0.7674418604651163,0.6337209302325582,1,1,2024-06-22 08:46:51.000000,2025-01-09 13:40:04.000000,3557,196,95,9.0,30.0,1,1,1
193.105.62.151,193.105.62.0,Khmelnytskyi Oblast,0.6976744186046512,0.6395348837209303,1,1,2024-06-22 08:46:51.000000,2025-01-09 13:40:04.000000,1265,2514,74,10.0,29.0,1,1,1
193.106.144.1,193.106.144.0,Rivne Oblast,0.0,0.75,0,1,2024-06-22 17:01:02.000000,2024-08-25 23:49:21.000000,114,20,21,9.0,31.0,1,1,0
193.106.144.125,193.106.144.0,Rivne Oblast,0.0,0.875,1,1,2024-06-22 08:43:03.000000,2025-01-09 14:50:31.000000,14121,28021,71,8.0,23.0,1,1,1
193.106.144.127,193.106.144.0,Rivne Oblast,1.0,0.8125,1,1,2024-06-22 08:43:03.000000,2025-01-09 14:36:35.000000,14318,27970,77,8.0,29.0,1,1,1
193.106.144.14,193.106.144.0,Rivne Oblast,0.75,1.0,0,1,2024-06-22 17:01:02.000000,2025-01-09 04:50:37.000000,128,80,75,9.0,32.0,1,1,0
193.106.144.42,193.106.144.0,Rivne Oblast,1.0,0.9375,1,1,2024-06-22 08:49:13.000000,2025-01-09 14:41:28.000000,11025,2994,96,6.0,32.0,1,1,1
193.106.144.46,193.106.144.0,Rivne Oblast,0.0,0.5625,1,1,2024-06-22 08:41:43.000000,2025-01-09 14:35:59.000000,2318,13050,70,8.0,29.0,1,1,1
193.106.144.58,193.106.144.0,Rivne Oblast,0.75,0.6875,1,1,2024-06-22 08:59:57.000000,2025-01-09 14:50:31.000000,5977,6986,69,8.0,26.0,1,1,1
193.106.144.66,193.106.144.0,Rivne Oblast,0.0,0.375,1,1,2024-08-13 00:45:05.000000,2025-01-09 12:45:47.000000,1370,1095,67,8.0,29.0,1,1,1
193.106.144.82,193.106.144.0,Rivne Oblast,1.0,1.0,1,1,2024-07-03 06:49:23.000000,2025-01-03 23:36:07.000000,234,26,61,7.0,26.0,1,1,1
193.106.147.170,193.106.147.0,Rivne Oblast,1.0,0.5,0,1,2024-06-22 08:54:27.000000,2024-08-12 23:45:06.000000,383,362,19,10.0,27.0,1,1,0
193.106.67.17,193.106.67.0,Zhytomyr Oblast,0.75,0.8125,1,1,2024-06-22 11:00:34.000000,2025-01-09 13:50:36.000000,181,433,65,9.0,30.0,1,1,1
193.106.67.19,193.106.67.0,Zhytomyr Oblast,0.75,0.875,1,1,2024-07-01 09:49:28.000000,2024-12-28 21:50:24.000000,14,13,34,7.0,31.0,1,1,1
193.107.110.12,193.107.110.0,Poltava Oblast,0.9134615384615384,0.9423076923076923,1,1,2024-06-22 09:00:10.000000,2025-01-09 14:50:32.000000,597,474,59,11.0,31.0,1,1,1
193.107.110.4,193.107.110.0,Poltava Oblast,0.9711538461538461,0.9663461538461539,1,1,2024-06-22 10:00:32.000000,2025-01-09 13:50:36.000000,622,471,82,10.0,30.0,1,1,1
193.107.168.34,193.107.168.0,Volyn Oblast,0.8868501529051988,0.8845565749235474,1,1,2024-06-22 09:30:13.000000,2024-08-22 07:49:28.000000,3066,3133,31,9.0,24.0,1,1,1
193.107.168.36,193.107.168.0,Volyn Oblast,0.8807339449541285,0.9403669724770642,1,1,2024-06-22 08:30:11.000000,2024-10-29 07:49:30.000000,6100,5953,44,8.0,29.0,1,1,1
193.107.168.38,193.107.168.0,Volyn Oblast,0.8929663608562691,0.8990825688073395,1,1,2024-06-22 08:30:11.000000,2024-09-11 23:49:33.000000,3203,3518,35,9.0,32.0,1,1,1
193.107.168.40,193.107.168.0,Volyn Oblast,0.908256880733945,0.9159021406727829,1,1,2024-06-22 09:00:11.000000,2025-01-09 14:50:32.000000,2341,1431,99,7.0,31.0,1,1,1
193.107.168.41,193.107.168.0,Volyn Oblast,0.8532110091743119,0.8830275229357798,1,1,2024-06-22 09:30:13.000000,2025-01-09 14:29:44.000000,2580,1541,70,8.0,30.0,1,1,1
193.107.168.43,193.107.168.0,Volyn Oblast,0.7339449541284404,0.6307339449541285,1,1,2024-06-22 08:30:11.000000,2024-09-30 06:49:34.000000,792,2708,40,8.0,28.0,1,1,1
193.107.168.44,193.107.168.0,Volyn Oblast,0.6024464831804281,0.5871559633027523,0,1,2024-06-22 09:30:13.000000,2024-09-16 19:29:32.000000,7686,28,33,8.0,32.0,1,1,0
193.107.168.46,193.107.168.0,Volyn Oblast,0.9113149847094801,0.867737003058104,1,1,2024-06-22 08:30:11.000000,2024-10-14 15:29:43.000000,6503,6332,53,8.0,31.0,1,1,1
193.107.168.47,193.107.168.0,Volyn Oblast,0.9051987767584098,0.9036697247706422,1,1,2024-06-22 08:30:11.000000,2025-01-09 14:50:32.000000,4115,2670,59,7.0,28.0,1,1,1
193.107.168.52,193.107.168.0,Volyn Oblast,0.7125382262996942,0.6108562691131498,1,1,2024-06-22 08:30:11.000000,2024-09-29 18:49:27.000000,997,2901,41,8.0,31.0,1,1,1
193.107.168.55,193.107.168.0,Volyn Oblast,0.7553516819571865,0.8203363914373089,1,1,2024-06-22 09:00:11.000000,2025-01-09 14:50:32.000000,9266,4181,76,6.0,31.0,1,1,1
193.107.168.56,193.107.168.0,Volyn Oblast,0.5840978593272171,0.4503058103975535,0,1,2024-06-22 10:00:32.000000,2025-01-08 18:29:43.000000,679,91,78,8.0,32.0,1,1,0
193.108.227.134,193.108.227.0,Kyiv Oblast,0.8181818181818182,0.8257575757575758,1,1,2024-06-22 08:41:48.000000,2025-01-09 14:36:01.000000,41683,9766,65,9.0,32.0,1,1,1
